text,label
خیلی ناجوره اصلا حوصل ات نمی شه بخونیش مزخرف,2
خیلی خسته کننده بود ارزش خوندن نداشت,2
نثر کتاب احمقانه اس اصلا انسجام نداره مطالب پراکنده و خلاصه و به درد نخور بعضی از صفحات متن از کادر زده بیرون و قابل خوندن نیس,2
یکی از بدترین ترجمه های عمرم رو خوندم,2
من ک اصلا دوسش نداشتم یه پسرک از همه چی و همه کس متنفره از اولشم داره فحش می ده می دونم که از چه لحاظ می گن خوبه ولی من اصلا خوشم نیومد,2
یکی از بدترین کتابای عمرم البته من صوتیشو گوش دادم روندی به شدت کسل کننده جوری که وسط هاش دیگه فقط می خوندم که تموم شه حیف پول و وقت به هیچ عنوان به هیچکس توصیه نمی کنم نمی دونم واقعا چرا بعضی کتاب ها اینجوری بلد می شن فکر کنم فقط بخاطر اینکه هم اولین کتاب سبک رئالیسم جادویی و هم اولین کتابی بوده که یک شجره نامه رو نوشته نوبل گرفته اگر هم درمورد این کتاب ها نظر واقعیت رو بگی می شی بی سوادی که کتاب رو نفهمیده قضیه همون شاه لختیه که هر کی لباساشو نمی دیده می شده دیوانه امیدوارم دیگه هیچ وقت همچین کتاب هایی نصیبم نشه,2
اصلا خوب نبود داستان جدی بود یهو تخیلی می شد که اصلا دو سبک بی ربط بودن گارش و سبک بیان هم ضعیف بود گاهی یه جمله چندین بار تکرار می شد گاهی یه موضوع خیلی سریع سر و تهش هم میومد,2
کتاب خوبی نبود داستان بسیار سریع و تند و بدون هیچ احساس خاصی نوشته شده بود افراد هم سریع همدیگه رو می خواستند,2
خیلی کم ازش خوندم و اصلا خوشم نیومد کاش قبل از نوشتن یک تحقیق کوچک در مورد رشته ی روانشناسی شده بود واسم جالب بود نوع حرف زدن روانشناس با مراجع و از همه جالب تر اینکه مریض و با خودش نقش اول داستان برد خونه جهت فرآیند درمان اصلا راضی کننده نبود حداقل قبل از نوشتن در مورد مشاغل تحقیق بشه بد نیست,2
ترجمه بد و گنگ انگار مترجم علاقه و قصدی برای فهمیدن منظور نویسنده و منتقل کردن اون به خواننده نداشته و فقط یک جور رفع تکلیف کرده,2
محتوا و متن و ترجمه هر سه افتضاح طرف تغییر جنسیت داده باشگاه هم جنس بازی داره معشوقه ی دخترای باشگاه شه آخرم توسط یه مرد که جنسیت اصلیش و شناخته در حین تلاش برای تجاوز کشته می شه بعد تو وصیت نامه اش به پسرش می گه بعضی تو این زندگی دست به کثافت کاری می زنند ولی من زندگی شادمانه رو انتخاب کردم مفهوم شادمانه تو اینقد مهوّع شده,2
