text,label
نمی دونم چرا ولی دلم می خواد گریه کنم,2
دنیا واسه پولدار هاست زندگی فقرا هم سرشار از حسرت و بدبختی و سگ دوی بی‌‌نتیجه,2
تمام حس‌های منفی دنیا در من جمع شده از جمله خوب‌ نبودن  زیبا نبودن ناکافی‌ بودن دوست‌ نداشتنی بودن,2
دل سوی تو آورده پناه از غم دنیا این طفل یتیم است در آغوش بگیرش,2
این فیلم رو هیچوقت نبینید حتی برای رفع کنجکاوی,2
خیلی وقته که به مقدار زیادی از زندگی خسته ام,2
تو این روزا که اینقدر به سال دیگه و رفتن دوستام فکر می‌ کنم نباید اینو می‌دیدم الان می‌ میرم از گریه و غصه,2
از استرس و دلتنگی در مرز خفگی‌ ام,2
دوستان می شه یکی یه تیر تو مغز من خالی کنه راحت شم,2
هیچ چیز در دنیا بدتر از ایرانی بودن نیست,2
هیچ برهه‌ای از زندگیم انقدر زودرنج و عصبی و بداخلاق نبودم شاید سیگنالی از سمت زندگیه که دارم زیاده‌روی می‌ کنم و باید یه کم سرم رو خلوت‌تر کنم و برای چیزهای مهم‌تر هم وقت بذارم,2
ببینید امروز تازه روز دوم تعطیلات بود ولی من از همین الان استرس غروب روز آخر رو دارم,2
نمرات این ترمم که میاد می ‌خوام خودمو از بلندی پرت کنم که انقدر ساده می ‌تونستم نتایج خوب بگیرم و کل کارشناسی سرم با تهم بازی می‌ کرد,2
دارم نابود می‌ شم از نخوابیدن و همچنان نمی ‌خوابم تا صبح مغشوش خیره به سقف اتاق سردرد سردرد سردرد,2
بحث کردن با خانواده هیچوقت برام عادی نمی شه هربار عصبانی بی انرژی و شکسته می شم,2
بعضی روزا هم حس می‌ کنم آدم مناسبی نیستم نه برای این زندگی نه برای آدما نه برای خودم,2
یه جوری تحت فشارم که اصلا چرا انقدر زشتم,2
دنیای آدم ‌بزرگا خیلی زشت و اخمو,2
نظریه‌ی نامحبوب مافیا جزو چرت‌ترین بی‌خودترین و وقت‌هدر‌کن‌ترین بازی‌های دنیاست,2
پس از تحمل آن همه درد کسی که به مقصد می ‌رسد دیگر همانی نیست که به راه افتاده بود,2
جالب بود ‏عجیب بود ‏ادم های قشنگ دیدم ‏کتاب های قشنگ‌ خوندم ‏تولد های قشنگ برام گرفتند,1
صبح بخیر انسان‌ های زیبا امروز می‌ خوام بهتون عشق بورزم,1
من شیفته ادم‌ های مودبم آدمایی که قشنگ صحبت می کنند و یا صدای قشنگی دارند,1
امشب بعد از مدت‌ها اینقدر از ته دلم خندیدم و خب واقعاً چسبید,1
ممنون از همفکری دوست های خوبم,1
یکی از معیارهای مهم انتخاب دوست اینه که متوجه طنز همدیگه بشید,1
در کل مهمونی خیلی جالب و پر از انرژی و همراهی دسته‌ جمعی‌گونه‌ای بود همه با هر سبکی یه همدلی‌ای داشتن انگار و البته که مثل همیشه تلاش کره برای اشاعه زبان و فرهنگ خودش به شکل قشنگ و برنامه‌ ریزی شده‌‌ای کاملا مشهود بود,1
انقدر همیشه تو مهمونی‌ها از آهنگ‌ هام استقبال می‌ شه و هی بهم می‌گن آهنگ بذارم که جدی دارم به دی‌جی شدن فکر می‌ کنم,1
همین که آدمای درست تشویقم می کنن بابت کاری که کردم و می کنم برام یک دنیا ارزش داره,1
سلام بر آنان که یادشان چون باران پاییزی انسان را به وجد می آورد,1
سه سال پیش وقتی برای اولین بار به باور هایی که همیشه درست در نظرشون می گرفتم شک کردم تبدیل به آدم بهتری شدم,1
خدا رو شکر دوستی ‌های خوبی ساختیم,1
چرا من رو زودتر ندیده بودم چقدر قشنگ و دوست‌داشتنی بود هرموقع انیمیشن می‌ بینم بیشتر به این نتیجه می‌ رسم که از دنیای فیلم و سریال بیشتر دوستشون دارم,1
من علاقه شدیدی به شنیدن بغلم کن از طرف اونی که می ‌خوام بغلش کنم دارم,1
نشد یه‌ بار این زندگی کامل زیبا باشه و خب فکر کنم زیباییش همین باشه,1
دو تا مقاله نوشتم که خودم از خوندنشون لذت می برم امیدوارم استادم هم همین حسو داشته باشه,1
از آهنگ هایی که امشب گوش دادم به شدت راضی ام,1
ظهر‌تون هم بخیر جای من ناهار خوشمزه بخورید,1
عزیزان بنده از فیلم خیلی خوشم میاد اگر فیلمی شبیهش رو می شناسید خوشحال می شم معرفی کنید بهم,1
امروز عمیقا خوشحال بودم و باورم نمی شه,1
عزیزان اگر ادم بخواد با یه سرمایه نه خیلی زیاد و نه خیلی کم یه کاری اینجا شروع کنه چی پیشنهاد می دید,0
این مال پارساله اره رفتم و اومدم هرچند داخل اروپا جابجا شدم,0
اگه خواننده یا آهنگ‌ساز بودید روی چه شعری کار می‌کردید که کسی روش کار نکرده تا الان,0
داستان جدید نوشته,0
پولدار ها همه چیزشون با ماها فرق داره,0
بچه‌ها کلاس باله غرب تهران کسی می‌ شناسه,0
یه پیشبینی‌ ای دارم ولی بیانش نمی کنم که رو سیر اتفاقات تأثیر نذارم,0
نمی دونم امشب برم باشگاه بیشتر کالری می سوزونم یا خونه رو تمیز کنم,0
وی در خانواده ای مذهبی چشم به جهان گشود,0
این یک قاعده نیست ولی رایجه,0
می دونید چرا آمار مهاجرت دختر های ایرانی به مراتب بیشتر از پسر هاست,0
فقط هفته تا پاییز باقی مونده,0
ما معتقدیم که علم و دانش باید فارغ از اعتقادات مذهبی یا فرهنگی باشد بی شک وجود یک محیط باز و فراگیر در پیشرفت جوامع علمی نقش به سزایی دارد,0
افرادی که عکس پروفایل تکراری می‌ ذارن یا عکس پرسنلی می ‌ذارن,0
مهم‌ترین دستاورد امسالتون چی بود,0
یکی از عجیب ترین حس‌ها اونجاییه که پیش خودت فکر می کنی چقدر دلم واسه این لحظه تنگ میشه  در حالی که هنوز تموم نشده,0
یه سری حرفا هم هست که دوست داری توییت کنی ولی نمی شه,0
فکر کنم ادم این دوران نیستم حداقل باید هزار سال پیش بدنیا می اومدم,0
من هنوز دارم فکر می کنم چرا اینجوری می کنید,0
چقدر تحلیل‌گر مسائل روسیه داشتیم خبر نداشتیم,0
