text,label
بعد از چند دقیقه که باهاش کار کنی سریع داغ می شه که حتی برا تعویض کردن صفحه مجبورشدم بزارم سرد بشه البته از جنس چینی انتظار دیگه ای نمی ره,2
اصلا خوب نیست روز اول استفاده کردم خیلی سعی کردم خودم رو قانع کنم چیز خوبی خریدم ولی واقعا اذیت می کنه بیشتر شبیه اسباب بازیه تا ابزار واسه پسر بچه ها,2
بسیار ضعیف و مکش بسیار کم سری جارو هم خیلی کوچک است و ناکارآمد,2
این کارد اره ایه و اره اش هم خیلی ضعیفه و به هیچ وجه نمی شه باهاش میوه پوست کند و قاچ کرد ضمنا جنس استیلش اصلا خوب نیست و بعضی از کاردها حالت کدر و زنگ زده داشت  من دو سری از این کاردها سفارش دادم اما از خریدم پشیمونم,2
من این محصول رو خریدم ولی اصلا راضی نیستم چون اصلا راحت نیست تو گوش و خیلی زود گوش رو خسته میکنه واسه کسانی که مثل من  روزانه چندین ساعت به موزیک گوش میدن اصلا خوب نیست,2
یکی از بدترین ارگونومی های موجود توی بازار همون لحظه اول که گذاشتم تو گوشم پشیمون شدم از خریدش  اصلا توی گوش خوب جا نمی گیره,2
خیلی خیلی زیاد آب ازش چکه می کنه و لباس رو خیس می کنه گاهی حس می کنم سوراخ شده و همه آب مخزن می ریزه روی لباس,2
نسبت به قیمتش کیفیت لازم رو نداره یعنی برق معمولی و ضعیفی داره و خیلی خیره کننده و زیبا نیست ماندگاریش هم بالا نیست و بعد از چند دقیقه دیگه اثری ازش نیست خلاصه نمی شه بهش گفت هایلایتر خوب,2
با سلام نمی تونم بگم این لپ تاپ واقعا بده اما اون چیزی نیست که انتظار داشتم یه مشکل خیلی بزرگ داره و اون این که سرعتش فوق العاده پایینه مثلا برای باز کردن یه فایل و در زمان روشن شدن و کلا اینقدر طول می کشه طول می کشه که ادم خسته می شه گاهی به خاطر همین موضوع هنگ هم می کنه اما مشکل دیگری نداره ,2
نمی دونم چی تو ذهنم بود که اینو خریدم کاملا پشیمونم,2
