text,label
غذا دیر اومد کیفیت پایین بود فقط حجم الکی با کاهو پر شده بود و کیفیت نداشت اصلا,2
با عرض سلام غذا به حدی سرد بود متوجه نشدم چی بود متاسفم,2
افتضاح گوشت نپخته سیب زمینی خام غذای کاملا بی مزه و بی نمک متاسفم براتون,2
حجم و کیفیت غذا نسبت به قبل بسیار افت داشت متاسفم واقعا فکر نکنم دیگه از اینجا بگیرم,2
شیرینی‌های‌ تر کیفیت پایینی داشت و مونده بود,2
بسیار بد سرد بدبو و خشک ضمن اینکه من چیزبرگر درخواست کرده بودم در حالیکه خبری از پنیر نبود,2
بی کیفیت‌ ترین و بد مزه‌ ترین و بدترین پیتزایی بود که تابحال خوردم یعنی در واقع نتونستم حتی تیکه‌اش رو بخورم خیلی خیلی بد بود,2
مرغ به شدت بد بو بود و اینکه سیب زمینی سوخاری رو بعد از سرخ شدن کامل داخل نمک فرو برده بودند که خیلی شور بود دفعه آخری بود که سفارش دادم,2
مرغ نپخته و صورتی بود نونش بوی بد می داد کاهوهاش خیلی مونده و قهوه‌ای بود اصلا از پلاک انتظار نداشتم,2
کباب کوبیده بوی بد می‌ داد قبل از باز کردن در ظرف بوی بد غذا در محیط متصاعد شد کباب خام بود و واقعا آبرومون رفت متاسفم,2
غذای بسیار بسیار بسیار بی کیفیت با تاخیر فراوان,2
گوشت و قارچ پیتزای بیف مونده بود و بو میداد و پخت قبل بود متاسفانه غیر قابل خوردن,2
ماهی بو‌ بدی داشت برنج هم بی کیفیت بود,2
نون پیتزا از زیر سوخته بود و مواد روی پیتزا نسبتا خام بود,2
شیرینی‌ها به دیواره جعبه و در جعبه چسبیدن چندتاشون هم به علت حمل نامناسب کاملا له شدن,2
اصلا خوب نبود ساندویچش مقدار گوشتش خیلی کم بود و گوشتش به شدت بو می‌ داد,2
بسیار کم مواد اصلا قارچی دیده نمی شد بخصوص قسمت قارچ و گوشت اصلا نسبت به اندازه و موادش قیمتش نمی‌ ارزه,2
قسمت هایی از استیک پیتزا خام بود و مزه سیر نمی داد,2
غلظت ابمیوه مثل قبل نبود و کیفیت اش بسیار پایین امده,2
چرا وقتی موجود نیست چیز دیگه‌ای می فرستند من ترجیح میدم اگر موجود نیست پول به حساب من برگشت داده بشه اگر پول این دوتا کیک اشتباه به حساب من بر نگرده من دیگه از خرید نمی کنم,2
عالی بود همه چه درست و به اندازه و کیفیت خوب امیداورم همیشه کیفیتتون خوب باشه ما مشتری همیشگی بشیم,1
هم سریع رسید هم داغ بود کیفیت هم داشت حجمش هم مناسب بود مشخصا از مواد با کیفیتی استفاده شده بود سیب زمینی مزه بد روغن چند بار مصرف نمی داد کلا خوب بود مرسی ,1
من معمولا کامنت نمی گذارم ولی این دیزی یکی از بهترین دیزی هایی بود که تا حالا خوردم عطر و طعم فلفلش به اندازه و عالی بود لذت بردیم به امید حفظ کیفیت,1
آب پرتغال شیرین و فوق العاده بود آب سیب و کرفس هم مقدار ترکیب عالی بود و درصد ترکیب این دو برعکس دفعه قبل به اندازه و عالی بود در کل رشد کیفیت داشتید ممنون,1
غذا بسیار تازه بود و مشخص بود تازه طبخ شده و خوش طعم بود ممنون پیک محترم هم اصول بهداشتی را بسیار خوب رعایت کردند و کاش در این روزها که این عزیزان کاری چنین سخت دارند وقتی با دقت انجامش می دهند ازشان تقدیر شود که بدانند قدر زحمات و دقتشان دانسته می‌ شود,1
یکی از اولین رستوران هایی که واقعا کارشو خیلی خوب بلده کیفیت عالی غذا در کنار قیمت منصفانه,1
با سلام خیلی ممنون تشکر می کنم از پیک که فوق العاده سریع تحویل دادند,1
همه مواردی که سفارش دادم رو بدون کم و کاست و در زمان مشخص شده آوردند سپاسگزارم,1
عالی بود واقعا بهترین چیز کیک ها رو شما دارید به موقع به دستم رسید و کیک‌ ها سالم بودند,1
چیزبرگرش واقعا خوشمزه بود گوشت تازه و پنیر عالی بسته بندیش خیلی شیک و جذاب و واسه یه چیزبرگر چند تا سس گذاشته بود برعکس بقیه فست فود ها که واسه پیتزا یه دونه سس میذارن و یه خوبی دیگه که شب تا دیروقت بازه حتما پیشنهاد می شه,1
سریع و زودتر از تایم اعلامی بدستم رسید و این خیلی خوبه,1
از زحمات برای پی گیری کمال تشکر را دارم,1
همه چیز تازه و خوشمزه و باکیفیت در بسته بندی مناسب به دستم رسید,1
بسیار خوش مزه و خوش طعم و خوش پخت نه خشک بود و نه نپخته همه چی به اندازه بود یه سس انار خیلی خوش مزه هم کنارش ارسال شد واقعا کبابی با کیفیتیه در همه سفارش‌های قبلیم راضی بودم ایشالا همیشه به همین کیفیت بمونید,1
غذا کمی زودتر از زمان پیش بینی کاملا گرم و سالم به دستم رسید کیفیت غذا عالی بود حجمش مناسب بود برگر کاملا پخته و طعم دار شده بود سرعت و طرز برخورد پیک هم خیلی خوب بود واقعا ممنون ,1
ساندویچ سالاد مرغ گرفتم خوشمزه بود البته با همین قیمت خوبه وگرنه در صورت افزایش قیمت حتما جا داره محتویاتش بیشتر بشه,1
