text,label
واقعا تاسف اوره,2
ببینید باز هم دروغ گفت خودش گیر کرد,2
این خواننده کیه چقد زشت می خونه,2
مستندات بی توجهی رسانه‌ ها به اعتراضات به حق فرهنگیان نسبت به احکام تبعیض در صدا و سیما تبعیض در کمپین حمایت از حقوق فرهنگیان نادیده گرفتن حق معلم این فیش حقوقی حق من نیست,2
وای چرا اینقدر افسرده و بی روح بود,2
چه بی ادب و بی شخصیت,2
از مردم زلزله زده خیلی خبر شنیدم که خودکشی می‌ کنند مگه به اونها رسیدگی نمی شه که این همه خبر بد می شنویم ,2
یه فکری به حال جوون های معتاد بکنید بیکاری و اعتیاد و فقر,2
وطنم افسوس که گذشته پر افتخارت در این برهه از زمان به نابودی نزدیک است مسئولان در خوابند,2
هر روز غم هر روز مصیبت خدایا سهم شادی مردم مملکت ما کجاست خدایا برای این مردم قلبم پاره پاره شده,2
برخورد امروزتون رو اصلا دوست نداشتم یه جورایی بی احترامی شد,2
خدایا چه عکس ناراحت کننده ایه خدا صبرشون بده,2
یک ذره غم و ناراحتی در چهره و لحن دیده نمی شد جان مردم برایشان هیچ ارزش ندارد تاسف تا به کی,2
ای کاش بجای عرض تسلیت یه فکر اساسی کنیم تا اینقدر افسرده و غمگین زندگی نکنیم,2
امروز صبح شبکه اصلا حال و هوای خوبی نداشت,2
خیلی کار بیهوده و بی کلاسیه یعنی چی اتیش بزن بپر از روش خرافات بی عقلی چندین صد سال پیش یه احمقی رسم کرده ما هم مثل عقب افتاده‌ها اطاعت می کنیم,2
اصلا ناامیدمون کردید,2
کسی به فکر جون مردم نیست فقط پول,2
دقیقا منم از همینش خیلی بدم اومد بچه پررو,2
به نظر من هم خیلی بی ادب بود,2
درود بر استاد شجاع و بی بدیل و وطن پرست عالیجناب بزرگ,1
بازیگر توانا محبوب بی حاشیه و در نهایت دوست داشتنی ترین,1
برنامه تون عالیه خدا قوت به همه شما و دوستان پشت صحنه ,1
من خیلی به این بانوی محترم ارادت دارم چهره‌ای مهربان ودوست داشتنی وهنرمند قابلی هستن,1
دمت گرم کاری به حرفهای مسئولان و این سازمان و اون سازمان نداشته باش واقعیت‌ها رو بگید حرف حق رو شما زدید,1
سلام من به وجود شما یک مجری بسیار توانمند ومجرب و باشعور افتخار می کنم شما را یک اقای با شخصیت ومهربان ودلسوز می بینم که خالصانه برای این مردم مظلوم زحمت می کشه ازتون خیلی ممنونم,1
برنامه تون عالیه کلی انرژی می‌ گیریم از این برنامه خوب مخصوصا با اجرای مجری خوب و پرتوان,1
بسیار عالی تنها برنامه‌ ای است بخاطرش بیدار می شم ومی بینم و بسیار انرژی مثبت به آدم می ده تا روز را شروع کنی و سرحال باشی,1
خیلی هنرمند هستند مرسی که دعوتشون کردید,1
هزاران درود بر شما مجری توانمند و مدافع حقوق ملت هستید احسنت برشما که با اطلاعات دقیق جواب این به اصطلاح مدیر پرواز را دادید,1
سلام شما هم همیشه بانشاطی لب همه رو به خنده باز می کنی,1
وای خدای من چقدر خوشحالمون کردین خدا رو شکر که دوباره برنامتون شروع می ‌شه,1
صدا قشنگ خوش تیپ جذاب و بانمک,1
با شما کاملا موافقم این کتاب بسیار زیبا عشق رو روایت کرده من این کتاب و هدیه هم دادم بی‌نهایت سپاس برای دعوت از نویسنده‌اش,1
سلام صبح بخیر هر بامداد طلوع دوباره خوشبختی و امید دیگری است بگشای دلت را به مهربانی و عشق را درقلبت مهمان کن بی شک شکوفه‌های خوشبختی در زندگیت گل خواهد داد,1
چه پارک زیبایی برای شهردار خونه بسازیم اینجا خیلی خوب میشه,1
خوش امدی خیلی خیلی خوشحال شدم دوباره به خونمون نور و صفا می ‌بخشی,1
سلام به برنامه چقدر خوشحال شدم از امروز صبح برنامه تان شروع شده یک خسته نباشید جانانه به و بقیه عزیزان دست اندر کار دیگه صبح‌ها منتظر برنامه خوبتان هستم ان شالله روز بروز موفق تر بشه حالا خورشید می دونم که هوادار زیاد دارید منم یکی از هوادارانتانم,1
بسیار خوشحال شدم چون من بازنشسته فرهنگی هستم و برنامه شما رو خیلی خیلی دوست دارم موفق و سربلند باشید,1
سلام خدا قوت اسم دخترم می گه به بگین که خیلی دوستشون داره الان هم داره نگاه می کنه بیننده‌ی پر و پا قرص بود,1
من اگر بودم روزنامه را رایگان اعلام می کردم,0
سلام چه جوری می شه به برنامه شما صبح ها پیغام داد,0
من به عنوان یک دانش آموز می خوام بدونم این جلسه چه نتیجه ای داشت,0
ممکنه بفرمایید ساعت شروع برنامه کی هست,0
سلام می شه بگید حسشون چیه,0
فکر نمی کنم بجز شما کسی بتونه صاحب این عنوان بشه,0
هواپیماها تشریف بردن شهرهای کوچک تا مقایسه رو درک کنند,0
امکان داره تکرارش پخش بشه ما بعضی از قسمت هاش وقت نشده ببینم لطفا تکرارش کنید,0
لطفا خبرش رو به ما بدید که آیا پیشنهاد کار بهشون میشه یا نه,0
لطفا اون موزیک تصویری قبل متبوعات را تو کانال بذارید,0
امکان داره این برنامه از رادیو هم پخش بشه چون اون ساعت داریم به سمت محل کار می ریم,0
اسم تیتراژ ابتدایی برنامه چیه,0
مهمون امروز کی بود,0
کجا باید بزاریم شعار برای تیم ملی توی همین پیج لطفا هر کی اطلاع داره بگه,0
لطف کنید بگید اصفهانی ها چطوری می تونند در جشنواره‌ی فیلم شرکت کنند ممنونم,0
سعی می کنم از طریق دنبال کنم,0
ببخشید دوستان این پیج اصلی هست,0
منتظر هستیم,0
یکم با لهجه صحبت کنید,0
بپرسید بدلکارتون رو چطوری پیدا کردید خیلی شبیه خودتون باشه اونجا,0
